subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at
63028341,16337,18849,96059,"{""Filename"":""MB-MG517-W-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/0e62ac99-4357-4b48-b14c-1e857305d750.jpeg""}",0,,,2021-06-23 17:48:26 UTC,2021-06-23 17:48:26 UTC
63028343,16337,18849,96059,"{""Filename"":""MB-MG517-W-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/d9b19f88-4bbb-46da-9b0c-c4b702ae7d07.jpeg""}",0,,,2021-06-23 17:48:26 UTC,2021-06-23 17:48:26 UTC
63028344,16337,18849,96059,"{""Filename"":""MB-MG518-E-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/36122db1-2857-45c1-a153-51bbf7e25bdb.jpeg""}",0,,,2021-06-23 17:48:26 UTC,2021-06-23 17:48:26 UTC
63028345,16337,18849,96059,"{""Filename"":""MB-MG518-E-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/aa1ce675-8379-4538-bb13-84e7a807b537.jpeg""}",0,,,2021-06-23 17:48:27 UTC,2021-06-23 17:48:27 UTC
63028346,16337,18849,96059,"{""Filename"":""MB-MG518-N-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/e6585487-e70c-4628-aacb-e8f16f0ff03f.jpeg""}",0,,,2021-06-23 17:48:27 UTC,2021-06-23 17:48:27 UTC
63028349,16337,18849,96059,"{""Filename"":""MB-MG518-N-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/785a09db-9843-4e92-a03e-696cd852c164.jpeg""}",0,,,2021-06-23 17:48:28 UTC,2021-06-23 17:48:28 UTC
63028350,16337,18849,96059,"{""Filename"":""MB-MG518-S-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/77942806-6f94-42a4-9dc9-3142d5cd441d.jpeg""}",0,,,2021-06-23 17:48:29 UTC,2021-06-23 17:48:29 UTC
63028352,16337,18849,96059,"{""Filename"":""MB-MG518-S-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/f788cd69-3f17-402c-ac4e-86332d931cf4.jpeg""}",0,,,2021-06-23 17:48:29 UTC,2021-06-23 17:48:29 UTC
63028353,16337,18849,96059,"{""Filename"":""MB-MG518-W-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/7e758e5f-18da-4c6f-aec4-849449404c3b.jpeg""}",0,,,2021-06-23 17:48:29 UTC,2021-06-23 17:48:29 UTC
63028354,16337,18849,96059,"{""Filename"":""MB-MG518-W-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/9c9579c2-c50a-47b6-bdc7-dfcfea781676.jpeg""}",0,,,2021-06-23 17:48:29 UTC,2021-06-23 17:48:29 UTC
63028355,16337,18849,96059,"{""Filename"":""MB-MG528-E-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/ee92fa38-bf3b-4a31-aff8-7b5bf689c9ca.jpeg""}",0,,,2021-06-23 17:48:30 UTC,2021-06-23 17:48:30 UTC
63028357,16337,18849,96059,"{""Filename"":""MB-MG528-E-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/f73d79e8-5e61-4101-9994-68443280bdd9.jpeg""}",0,,,2021-06-23 17:48:30 UTC,2021-06-23 17:48:30 UTC
63028358,16337,18849,96059,"{""Filename"":""MB-MG528-N-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/2d2564b7-d3c4-46e4-b3cb-47d2b6bb9aad.jpeg""}",0,,,2021-06-23 17:48:30 UTC,2021-06-23 17:48:30 UTC
63028359,16337,18849,96059,"{""Filename"":""MB-MG528-S-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/7cc0d67e-5e96-47dc-b705-1be24833a2d0.jpeg""}",0,,,2021-06-23 17:48:30 UTC,2021-06-23 17:48:30 UTC
63028361,16337,18849,96059,"{""Filename"":""MB-MG528-S-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/2417f824-61a4-45b6-b1da-1b5adca4aa6d.jpeg""}",0,,,2021-06-23 17:48:30 UTC,2021-06-23 17:48:30 UTC
63028364,16337,18849,96059,"{""Filename"":""MB-MG528-W-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/3b625717-df84-4b77-b8b3-2ed747475c20.jpeg""}",0,,,2021-06-23 17:48:32 UTC,2021-06-23 17:48:32 UTC
63028365,16337,18849,96059,"{""Filename"":""MB-MG528-W-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/8fbfda34-9132-482d-866e-d96e03df1439.jpeg""}",0,,,2021-06-23 17:48:32 UTC,2021-06-23 17:48:32 UTC
63028366,16337,18849,96059,"{""Filename"":""MB-MG529-E-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/01eb107a-b028-4caf-a47b-5dba83224a41.jpeg""}",0,,,2021-06-23 17:48:33 UTC,2021-06-23 17:48:33 UTC
63028367,16337,18849,96059,"{""Filename"":""MB-MG529-E-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/cae4a23c-ae75-4acb-9df7-df56ec6983a9.jpeg""}",0,,,2021-06-23 17:48:33 UTC,2021-06-23 17:48:33 UTC
63028369,16337,18849,96059,"{""Filename"":""MB-MG529-N-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/6e7e3a85-a875-4e2a-898e-5c627d2ae868.jpeg""}",0,,,2021-06-23 17:48:33 UTC,2021-06-23 17:48:33 UTC
